"","JDate","Year","X","unitbox","RFID","Seconds","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","UniqueRecord","FullTime","Hours","HoursSq","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Sc.Seconds","Sc.Year","Sc.DOY","Sky.Cov.x","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"15",147,2015,15,"2126","0418945C34",21869,"126","0418942DBA","0418945C34","Yes","5/24/15",3,"0418945C34_147_21869",12722669,6.07472222222222,36.9022500771605,"M",21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,0.922434567752779,15,-2.046553694429,0.5,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"16",147,2015,16,"2126","0418945C34",21869,"126","0418942DBA","0418945C34","Yes","5/24/15",3,"0418945C34_147_21869",12722669,6.07472222222222,36.9022500771605,"M",21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,0.922434567752779,15,-2.046553694429,0.2,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"17",147,2015,14,"2126","0418945C34",21869,"126","0418942DBA","0418945C34","Yes","5/24/15",3,"0418945C34_147_21869",12722669,6.07472222222222,36.9022500771605,"M",21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,0.922434567752779,15,-2.046553694429,0,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"18",148,2015,23,"2126","0418945C34",20664,"126","0418942DBA","0418945C34","Yes","5/24/15",4,"0418945C34_148_20664",12807864,5.74,32.9476,"M",21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,0.208671832586389,15,-1.93037307932178,0,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"19",148,2015,22,"2126","0418945C34",20664,"126","0418942DBA","0418945C34","Yes","5/24/15",4,"0418945C34_148_20664",12807864,5.74,32.9476,"M",21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,0.208671832586389,15,-1.93037307932178,0.2,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"20",148,2015,26,"277","041868D041",20365,"77","04186EB240","041868D041","Yes","5/27/15",1,"041868D041_148_20365",12807565,5.65694444444444,32.0010204475309,"M",21904,"DMSO",79.8,"Ithaca","2015-05-27",147,147,167,0.0315639007899153,15,-1.93037307932178,0,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"21",148,2015,27,"277","041868D041",20365,"77","04186EB240","041868D041","Yes","5/27/15",1,"041868D041_148_20365",12807565,5.65694444444444,32.0010204475309,"M",21904,"DMSO",79.8,"Ithaca","2015-05-27",147,147,167,0.0315639007899153,15,-1.93037307932178,1,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"22",148,2015,24,"2126","0418945C34",20664,"126","0418942DBA","0418945C34","Yes","5/24/15",4,"0418945C34_148_20664",12807864,5.74,32.9476,"M",21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,0.208671832586389,15,-1.93037307932178,1,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"23",148,2015,25,"277","041868D041",20365,"77","04186EB240","041868D041","Yes","5/27/15",1,"041868D041_148_20365",12807565,5.65694444444444,32.0010204475309,"M",21904,"DMSO",79.8,"Ithaca","2015-05-27",147,147,167,0.0315639007899153,15,-1.93037307932178,0.2,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"24",148,2016,30,"277","041868D041",19632,"77","04186ED2D1","041868D041","Yes","5/25/16",0,"041868D041_148_19632",12806832,5.45333333333333,29.7388444444444,"M",21904,"Short Cort",61.8,"Ithaca","2016-05-25",146,146,166,-0.40261708251047,16,-1.93037307932178,0,0.16,0.16,12788340,12646200,12628200,12688260,12807180,118920,-142140,"rise",18840
"25",148,2016,29,"2118","04186ED791",23504,"118","0419179244","04186ED791","Yes","5/24/16",2,"04186ED791_148_23504",12810704,6.52888888888889,42.6263901234568,"M",21904,"Low Tape",61.8,"Ithaca","2016-05-24",145,145,165,1.89090101754286,16,-1.93037307932178,0.8,0.16,0.16,12788340,12646200,12807120,12688260,12807180,118920,-142140,"rise",18840
"26",148,2016,31,"277","041868D041",19632,"77","04186ED2D1","041868D041","Yes","5/25/16",0,"041868D041_148_19632",12806832,5.45333333333333,29.7388444444444,"M",21904,"Short Cort",61.8,"Ithaca","2016-05-25",146,146,166,-0.40261708251047,16,-1.93037307932178,0.8,0.16,0.16,12788340,12646200,12628200,12688260,12807180,118920,-142140,"rise",18840
"27",148,2016,28,"2118","04186ED791",23504,"118","0419179244","04186ED791","Yes","5/24/16",2,"04186ED791_148_23504",12810704,6.52888888888889,42.6263901234568,"M",21904,"Low Tape",61.8,"Ithaca","2016-05-24",145,145,165,1.89090101754286,16,-1.93037307932178,0,0.16,0.16,12788340,12646200,12807120,12688260,12807180,118920,-142140,"rise",18840
"28",149,2015,32,"2126","0418945C34",20511,"126","0418942DBA","0418945C34","Yes","5/24/15",5,"0418945C34_149_20511",12894111,5.6975,32.46150625,"M",22201,"High",87.1,"Ithaca","2015-05-24",144,144,164,0.118044696917959,15,-1.81419246421456,0,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"29",149,2015,34,"277","041868D041",20534,"77","04186EB240","041868D041","Yes","5/27/15",2,"041868D041_149_20534",12894134,5.70388888888889,32.5343484567901,"M",22201,"DMSO",87.1,"Ithaca","2015-05-27",147,147,167,0.131668383979226,15,-1.81419246421456,0,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"30",149,2015,35,"238","041868F39C",22330,"38","0417939A3D","041868F39C","Yes","5/28/15",1,"041868F39C_149_22330",12895930,6.20277777777778,38.4744521604938,"M",22201,"Control",87.1,"Ithaca","2015-05-28",148,148,168,1.19550064319818,15,-1.81419246421456,0,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"31",149,2015,33,"214","0418946B5D",22468,"14","04186EC42E","0418946B5D","Yes","5/28/15",1,"0418946B5D_149_22468",12896068,6.24111111111111,38.9514679012346,"M",22201,"High",87.1,"Ithaca","2015-05-28",148,148,168,1.27724276556578,15,-1.81419246421456,0,0,0,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"32",149,2016,43,"2103","0418941B5C",23539,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,"0418941B5C_149_23539",12897139,6.53861111111111,42.7534352623457,"M",22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,1.91163271524479,16,-1.81419246421456,0.2,0.14,0.14,12877080,12826140,12896520,12861120,12893580,32460,-50940,"rise",16500
