"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","Sc.Year","Sc.DOY","Sc.totalTime","cloud","Sky.Cov.y","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"16",146,2016,"2118","0419179244",31,"146_2016_0419179244",52796,"118","0419179244","04186ED791","Yes","5/24/16",0,FALSE,21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,"146_2016",16,-1.88144553080417,-0.0101575211781153,0.211111111111111,0.211111111111111,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
"17",146,2016,"2118","0419179244",31,"146_2016_0419179244",52796,"118","0419179244","04186ED791","Yes","5/24/16",0,FALSE,21316,"Low Tape",81.2,"Ithaca","2016-05-24",145,145,165,"146_2016",16,-1.88144553080417,-0.0101575211781153,0.211111111111111,0.211111111111111,12610260,12556620,12628200,12601800,12634500,32700,-53640,"rise",24240
"18",147,2015,"2126","0418942DBA",50,"147_2015_0418942DBA",56712,"126","0418942DBA","0418945C34","Yes","5/24/15",3,FALSE,21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,"147_2015",15,-1.77162657703693,0.37734675888919,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"19",147,2015,"2126","0418942DBA",50,"147_2015_0418942DBA",56712,"126","0418942DBA","0418945C34","Yes","5/24/15",3,FALSE,21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,"147_2015",15,-1.77162657703693,0.37734675888919,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"20",147,2015,"2126","0418942DBA",50,"147_2015_0418942DBA",56712,"126","0418942DBA","0418945C34","Yes","5/24/15",3,FALSE,21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,"147_2015",15,-1.77162657703693,0.37734675888919,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"21",147,2015,"2126","0418942DBA",50,"147_2015_0418942DBA",56712,"126","0418942DBA","0418945C34","Yes","5/24/15",3,FALSE,21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,"147_2015",15,-1.77162657703693,0.37734675888919,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"22",147,2015,"221","0417939ADB",40,"147_2015_0417939ADB",55991,"21","0417939ADB","","Yes","5/25/15",2,FALSE,21609,"Long",71.3,"Ithaca","2015-05-25",145,145,165,"147_2015",15,-1.77162657703693,0.306000848284356,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"23",147,2015,"221","0417939ADB",40,"147_2015_0417939ADB",55991,"21","0417939ADB","","Yes","5/25/15",2,FALSE,21609,"Long",71.3,"Ithaca","2015-05-25",145,145,165,"147_2015",15,-1.77162657703693,0.306000848284356,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"24",147,2015,"221","0417939ADB",40,"147_2015_0417939ADB",55991,"21","0417939ADB","","Yes","5/25/15",2,FALSE,21609,"Long",71.3,"Ithaca","2015-05-25",145,145,165,"147_2015",15,-1.77162657703693,0.306000848284356,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"25",147,2015,"221","0417939ADB",40,"147_2015_0417939ADB",55991,"21","0417939ADB","","Yes","5/25/15",2,FALSE,21609,"Long",71.3,"Ithaca","2015-05-25",145,145,165,"147_2015",15,-1.77162657703693,0.306000848284356,0.15,0.15,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"26",148,2015,"211","0418944A22",120,"148_2015_0418944A22",54958,"11","0418944A22","0418942581","Yes","5/27/15",1,FALSE,21904,"High",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.203781256530136,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"27",148,2015,"211","0418944A22",120,"148_2015_0418944A22",54958,"11","0418944A22","0418942581","Yes","5/27/15",1,FALSE,21904,"High",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.203781256530136,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"28",148,2015,"211","0418944A22",120,"148_2015_0418944A22",54958,"11","0418944A22","0418942581","Yes","5/27/15",1,FALSE,21904,"High",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",15,-1.66180762326969,0.203781256530136,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"29",148,2015,"2126","0418942DBA",110,"148_2015_0418942DBA",57002,"126","0418942DBA","0418945C34","Yes","5/24/15",4,FALSE,21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,"148_2015",15,-1.66180762326969,0.40604344970112,0.22,0.22,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
