"","JDate","Year","unitbox","RFID","X","Dayyearbird","totalTime","Nest","FemaleRFID","MaleRFID","focal","HatchDate","Offset","Sex","JDateSq","treatment","Illumination","Location","HD","HD_Jdate","HDJ","FD","Dayyear","cloud","Sky.Cov.y","Sc.totalTime","moonrise_c","moonset_c","merid_c","sunset_c","sunrise_c","nightlength","moonlength","rise_set_later","brightnight"
"17",147,2015,"2126","0418945C34",30,"147_2015_0418945C34",52957,"126","0418942DBA","0418945C34","Yes","5/24/15",3,"M",21609,"High",71.3,"Ithaca","2015-05-24",144,144,164,"147_2015",0.15,0.15,0.259359774308134,12663780,12709380,12686820,12688260,12720840,32580,45600,"set",21120
"18",148,2015,"2126","0418945C34",70,"148_2015_0418945C34",51727,"126","0418942DBA","0418945C34","Yes","5/24/15",4,"M",21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,"148_2015",0.22,0.22,0.15897040280331,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"19",148,2015,"2126","0418945C34",70,"148_2015_0418945C34",51727,"126","0418942DBA","0418945C34","Yes","5/24/15",4,"M",21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,"148_2015",0.22,0.22,0.15897040280331,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"20",148,2015,"2126","0418945C34",70,"148_2015_0418945C34",51727,"126","0418942DBA","0418945C34","Yes","5/24/15",4,"M",21904,"High",79.8,"Ithaca","2015-05-24",144,144,164,"148_2015",0.22,0.22,0.15897040280331,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"21",148,2015,"277","041868D041",60,"148_2015_041868D041",52883,"77","04186EB240","041868D041","Yes","5/27/15",1,"M",21904,"DMSO",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",0.22,0.22,0.253320088542803,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"22",148,2015,"277","041868D041",60,"148_2015_041868D041",52883,"77","04186EB240","041868D041","Yes","5/27/15",1,"M",21904,"DMSO",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",0.22,0.22,0.253320088542803,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"23",148,2015,"277","041868D041",60,"148_2015_041868D041",52883,"77","04186EB240","041868D041","Yes","5/27/15",1,"M",21904,"DMSO",79.8,"Ithaca","2015-05-27",147,147,167,"148_2015",0.22,0.22,0.253320088542803,12753600,12797460,12775740,12774720,12807180,32460,43860,"set",22740
"24",148,2016,"2118","04186ED791",90,"148_2016_04186ED791",50549,"118","0419179244","04186ED791","Yes","5/24/16",2,"M",21904,"Low Tape",61.8,"Ithaca","2016-05-24",145,145,165,"148_2016",0.16,0.16,0.0628251348092595,12788340,12646200,12807120,12688260,12807180,118920,-142140,"rise",18840
"25",148,2016,"2118","04186ED791",90,"148_2016_04186ED791",50549,"118","0419179244","04186ED791","Yes","5/24/16",2,"M",21904,"Low Tape",61.8,"Ithaca","2016-05-24",145,145,165,"148_2016",0.16,0.16,0.0628251348092595,12788340,12646200,12807120,12688260,12807180,118920,-142140,"rise",18840
"26",148,2016,"277","041868D041",80,"148_2016_041868D041",54946,"77","04186ED2D1","041868D041","Yes","5/25/16",0,"M",21904,"Short Cort",61.8,"Ithaca","2016-05-25",146,146,166,"148_2016",0.16,0.16,0.421696733595202,12788340,12646200,12628200,12688260,12807180,118920,-142140,"rise",18840
"27",148,2016,"277","041868D041",80,"148_2016_041868D041",54946,"77","04186ED2D1","041868D041","Yes","5/25/16",0,"M",21904,"Short Cort",61.8,"Ithaca","2016-05-25",146,146,166,"148_2016",0.16,0.16,0.421696733595202,12788340,12646200,12628200,12688260,12807180,118920,-142140,"rise",18840
"28",149,2015,"2126","0418945C34",140,"149_2015_0418945C34",54224,"126","0418942DBA","0418945C34","Yes","5/24/15",5,"M",22201,"High",87.1,"Ithaca","2015-05-24",144,144,164,"149_2015",0,0,0.362768988695623,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"29",149,2015,"214","0418946B5D",150,"149_2015_0418946B5D",50040,"14","04186EC42E","0418946B5D","Yes","5/28/15",1,"M",22201,"High",87.1,"Ithaca","2015-05-28",148,148,168,"149_2015",0,0,0.0212818908288081,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"30",149,2015,"238","041868F39C",110,"149_2015_041868F39C",52308,"38","0417939A3D","041868F39C","Yes","5/28/15",1,"M",22201,"Control",87.1,"Ithaca","2015-05-28",148,148,168,"149_2015",0,0,0.206390097798678,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"31",149,2015,"277","041868D041",100,"149_2015_041868D041",53778,"77","04186EB240","041868D041","Yes","5/27/15",2,"M",22201,"DMSO",87.1,"Ithaca","2015-05-27",147,147,167,"149_2015",0,0,0.326367639353223,12843420,12885600,12864720,12861180,12893580,32400,42180,"set",24420
"32",149,2016,"2103","0418941B5C",180,"149_2016_0418941B5C",46069,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,"M",22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",0.14,0.14,-0.302820706118879,12877080,12826140,12896520,12861120,12893580,32460,-50940,"rise",16500
"33",149,2016,"2103","0418941B5C",180,"149_2016_0418941B5C",46069,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,"M",22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",0.14,0.14,-0.302820706118879,12877080,12826140,12896520,12861120,12893580,32460,-50940,"rise",16500
"34",149,2016,"2103","0418941B5C",180,"149_2016_0418941B5C",46069,"103","041868E6D5","0418941B5C","Yes","5/27/16",-3,"M",22201,"DMSO",50.6,"Ithaca","2016-05-27",148,148,168,"149_2016",0.14,0.14,-0.302820706118879,12877080,12826140,12896520,12861120,12893580,32460,-50940,"rise",16500
"35",149,2016,"2118","04186ED791",170,"149_2016_04186ED791",51424,"118","0419179244","04186ED791","Yes","5/24/16",3,"M",22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,"149_2016",0.14,0.14,0.134240338115537,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"36",149,2016,"2118","04186ED791",170,"149_2016_04186ED791",51424,"118","0419179244","04186ED791","Yes","5/24/16",3,"M",22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,"149_2016",0.14,0.14,0.134240338115537,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"37",149,2016,"2118","04186ED791",170,"149_2016_04186ED791",51424,"118","0419179244","04186ED791","Yes","5/24/16",3,"M",22201,"Low Tape",50.6,"Ithaca","2016-05-24",145,145,165,"149_2016",0.14,0.14,0.134240338115537,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"38",149,2016,"277","041868D041",160,"149_2016_041868D041",54199,"77","04186ED2D1","041868D041","Yes","5/25/16",1,"M",22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,"149_2016",0.14,0.14,0.360728554315444,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"39",149,2016,"277","041868D041",160,"149_2016_041868D041",54199,"77","04186ED2D1","041868D041","Yes","5/25/16",1,"M",22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,"149_2016",0.14,0.14,0.360728554315444,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"40",149,2016,"277","041868D041",160,"149_2016_041868D041",54199,"77","04186ED2D1","041868D041","Yes","5/25/16",1,"M",22201,"Short Cort",50.6,"Ithaca","2016-05-25",146,146,166,"149_2016",0.14,0.14,0.360728554315444,12877080,12826140,12807120,12861120,12893580,32460,-50940,"rise",16500
"41",150,2015,"2104","04186EA049",240,"150_2015_04186EA049",51406,"104","041894614B","04186EA049","Yes","5/25/15",5,"M",22500,"Control",93.1,"Ithaca","2015-05-25",145,145,165,"150_2015",0.6,0.6,0.132771225361807,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"42",150,2015,"2104","04186EA049",240,"150_2015_04186EA049",51406,"104","041894614B","04186EA049","Yes","5/25/15",5,"M",22500,"Control",93.1,"Ithaca","2015-05-25",145,145,165,"150_2015",0.6,0.6,0.132771225361807,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"43",150,2015,"2104","04186EA049",240,"150_2015_04186EA049",51406,"104","041894614B","04186EA049","Yes","5/25/15",5,"M",22500,"Control",93.1,"Ithaca","2015-05-25",145,145,165,"150_2015",0.6,0.6,0.132771225361807,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"44",150,2015,"2111","041868C602",210,"150_2015_041868C602",48671,"111","041894557D","041868C602","Yes","5/29/15",1,"M",22500,"Long",93.1,"Ithaca","2015-05-29",149,149,169,"150_2015",0.6,0.6,-0.0904522958298127,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"45",150,2015,"2111","041868C602",210,"150_2015_041868C602",48671,"111","041894557D","041868C602","Yes","5/29/15",1,"M",22500,"Long",93.1,"Ithaca","2015-05-29",149,149,169,"150_2015",0.6,0.6,-0.0904522958298127,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"46",150,2015,"2111","041868C602",210,"150_2015_041868C602",48671,"111","041894557D","041868C602","Yes","5/29/15",1,"M",22500,"Long",93.1,"Ithaca","2015-05-29",149,149,169,"150_2015",0.6,0.6,-0.0904522958298127,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"47",150,2015,"2126","0418945C34",280,"150_2015_0418945C34",52267,"126","0418942DBA","0418945C34","Yes","5/24/15",6,"M",22500,"High",93.1,"Ithaca","2015-05-24",144,144,164,"150_2015",0.6,0.6,0.203043785415184,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"48",150,2015,"2126","0418945C34",280,"150_2015_0418945C34",52267,"126","0418942DBA","0418945C34","Yes","5/24/15",6,"M",22500,"High",93.1,"Ithaca","2015-05-24",144,144,164,"150_2015",0.6,0.6,0.203043785415184,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"49",150,2015,"2126","0418945C34",280,"150_2015_0418945C34",52267,"126","0418942DBA","0418945C34","Yes","5/24/15",6,"M",22500,"High",93.1,"Ithaca","2015-05-24",144,144,164,"150_2015",0.6,0.6,0.203043785415184,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"50",150,2015,"214","0418946B5D",290,"150_2015_0418946B5D",49448,"14","04186EC42E","0418946B5D","Yes","5/28/15",2,"M",22500,"High",93.1,"Ithaca","2015-05-28",148,148,168,"150_2015",0.6,0.6,-0.0270355952938387,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"51",150,2015,"214","0418946B5D",290,"150_2015_0418946B5D",49448,"14","04186EC42E","0418946B5D","Yes","5/28/15",2,"M",22500,"High",93.1,"Ithaca","2015-05-28",148,148,168,"150_2015",0.6,0.6,-0.0270355952938387,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"52",150,2015,"214","0418946B5D",290,"150_2015_0418946B5D",49448,"14","04186EC42E","0418946B5D","Yes","5/28/15",2,"M",22500,"High",93.1,"Ithaca","2015-05-28",148,148,168,"150_2015",0.6,0.6,-0.0270355952938387,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"53",150,2015,"238","041868F39C",230,"150_2015_041868F39C",53700,"38","0417939A3D","041868F39C","Yes","5/28/15",2,"M",22500,"Control",93.1,"Ithaca","2015-05-28",148,148,168,"150_2015",0.6,0.6,0.320001484087064,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"54",150,2015,"238","041868F39C",230,"150_2015_041868F39C",53700,"38","0417939A3D","041868F39C","Yes","5/28/15",2,"M",22500,"Control",93.1,"Ithaca","2015-05-28",148,148,168,"150_2015",0.6,0.6,0.320001484087064,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"55",150,2015,"238","041868F39C",230,"150_2015_041868F39C",53700,"38","0417939A3D","041868F39C","Yes","5/28/15",2,"M",22500,"Control",93.1,"Ithaca","2015-05-28",148,148,168,"150_2015",0.6,0.6,0.320001484087064,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"56",150,2015,"264","04186EB8C8",250,"150_2015_04186EB8C8",52070,"64","0418944690","04186EB8C8","Yes","5/24/15",6,"M",22500,"Low",93.1,"Ithaca","2015-05-24",144,144,164,"150_2015",0.6,0.6,0.186965162499371,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"57",150,2015,"264","04186EB8C8",250,"150_2015_04186EB8C8",52070,"64","0418944690","04186EB8C8","Yes","5/24/15",6,"M",22500,"Low",93.1,"Ithaca","2015-05-24",144,144,164,"150_2015",0.6,0.6,0.186965162499371,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"58",150,2015,"264","04186EB8C8",250,"150_2015_04186EB8C8",52070,"64","0418944690","04186EB8C8","Yes","5/24/15",6,"M",22500,"Low",93.1,"Ithaca","2015-05-24",144,144,164,"150_2015",0.6,0.6,0.186965162499371,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"59",150,2015,"277","041868D041",220,"150_2015_041868D041",52553,"77","04186EB240","041868D041","Yes","5/27/15",3,"M",22500,"DMSO",93.1,"Ithaca","2015-05-27",147,147,167,"150_2015",0.6,0.6,0.226386354724436,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
"60",150,2015,"277","041868D041",220,"150_2015_041868D041",52553,"77","04186EB240","041868D041","Yes","5/27/15",3,"M",22500,"DMSO",93.1,"Ithaca","2015-05-27",147,147,167,"150_2015",0.6,0.6,0.226386354724436,12933300,12973860,12953760,12947580,12979920,32340,40560,"set",26280
